Gen,PCdiversity_subpop1,PCdiversity_subpop2,PCdiversity
0,0.594,0.658,0.626
1,0.576,0.542,0.5589999999999999
2,0.586,0.5,0.5429999999999999
3,0.62,0.484,0.552
4,0.588,0.55,0.569
5,0.592,0.564,0.578
6,0.65,0.554,0.6020000000000001
7,0.662,0.496,0.579
8,0.64,0.552,0.5960000000000001
9,0.628,0.538,0.583
10,0.706,0.516,0.611
11,0.674,0.586,0.63
12,0.616,0.494,0.5549999999999999
13,0.588,0.36,0.474
14,0.626,0.476,0.5509999999999999
15,0.65,0.23,0.44
16,0.608,0.452,0.53
17,0.662,0.492,0.577
18,0.616,0.372,0.494
19,0.596,0.488,0.542
20,0.618,0.446,0.532
21,0.664,0.448,0.556
22,0.642,0.358,0.5
23,0.612,0.206,0.409
24,0.612,0.246,0.429
25,0.606,0.282,0.44399999999999995
26,0.642,0.244,0.443
27,0.676,0.266,0.47100000000000003
28,0.672,0.178,0.42500000000000004
29,0.606,0.312,0.45899999999999996
30,0.64,0.24,0.44
31,0.684,0.138,0.41100000000000003
32,0.608,0.15,0.379
33,0.594,0.116,0.355
34,0.606,0.144,0.375
35,0.638,0.14,0.389
36,0.606,0.146,0.376
37,0.624,0.164,0.394
38,0.646,0.158,0.402
39,0.652,0.258,0.455
40,0.63,0.29,0.45999999999999996
41,0.632,0.178,0.405
42,0.68,0.188,0.43400000000000005
43,0.678,0.186,0.43200000000000005
44,0.678,0.33,0.504
45,0.634,0.312,0.473
46,0.65,0.354,0.502
47,0.668,0.388,0.528
48,0.652,0.252,0.452
49,0.65,0.354,0.502
50,0.688,0.274,0.481
