Gen,PCdiversity_subpop1,PCdiversity_subpop2,PCdiversity
0,0.765,0.04,0.4025
1,0.775,0.03,0.4025
2,0.76,0.03,0.395
3,0.83,0.04,0.435
4,0.835,0.03,0.4325
5,0.84,0.03,0.435
6,0.775,0.04,0.40750000000000003
7,0.845,0.045,0.445
8,0.765,0.025,0.395
9,0.68,0.025,0.35250000000000004
10,0.735,0.035,0.385
11,0.75,0.04,0.395
12,0.725,0.025,0.375
13,0.7,0.025,0.3625
14,0.66,0.02,0.34
15,0.67,0.02,0.34500000000000003
16,0.655,0.02,0.3375
17,0.685,0.025,0.35500000000000004
18,0.635,0.03,0.3325
19,0.66,0.025,0.3425
20,0.675,0.02,0.34750000000000003
21,0.66,0.02,0.34
22,0.735,0.025,0.38
23,0.745,0.035,0.39
24,0.75,0.025,0.3875
25,0.795,0.025,0.41000000000000003
26,0.83,0.03,0.43
27,0.815,0.03,0.4225
28,0.74,0.025,0.3825
29,0.805,0.025,0.41500000000000004
30,0.81,0.025,0.41750000000000004
31,0.82,0.02,0.42
32,0.845,0.025,0.435
33,0.8,0.015,0.40750000000000003
34,0.845,0.015,0.43
35,0.855,0.03,0.4425
36,0.815,0.035,0.425
37,0.795,0.025,0.41000000000000003
38,0.805,0.03,0.41750000000000004
39,0.82,0.02,0.42
40,0.855,0.02,0.4375
41,0.88,0.02,0.45
42,0.83,0.03,0.43
43,0.87,0.03,0.45
44,0.83,0.025,0.4275
45,0.8,0.025,0.41250000000000003
46,0.82,0.03,0.425
47,0.805,0.035,0.42000000000000004
48,0.855,0.03,0.4425
49,0.835,0.03,0.4325
50,0.805,0.025,0.41500000000000004
