Gen,PCdiversity_subpop1,PCdiversity_subpop2,PCdiversity
0,0.72,0.04,0.38
1,0.63,0.04,0.335
2,0.6,0.05,0.325
3,0.63,0.04,0.335
4,0.55,0.04,0.29500000000000004
5,0.39,0.05,0.22
6,0.4,0.05,0.225
7,0.4,0.04,0.22
8,0.42,0.05,0.235
9,0.38,0.06,0.22
10,0.33,0.06,0.195
11,0.36,0.03,0.195
12,0.31,0.02,0.165
13,0.25,0.02,0.135
14,0.2,0.02,0.11
15,0.17,0.03,0.1
16,0.2,0.02,0.11
17,0.16,0.02,0.09
18,0.14,0.03,0.085
19,0.2,0.03,0.115
20,0.15,0.02,0.08499999999999999
21,0.13,0.02,0.075
22,0.18,0.03,0.105
23,0.21,0.06,0.135
24,0.24,0.03,0.135
25,0.16,0.03,0.095
26,0.25,0.02,0.135
27,0.25,0.04,0.145
28,0.18,0.05,0.11499999999999999
29,0.18,0.04,0.11
30,0.2,0.04,0.12000000000000001
31,0.18,0.02,0.09999999999999999
32,0.21,0.03,0.12
33,0.15,0.04,0.095
34,0.19,0.03,0.11
35,0.23,0.03,0.13
36,0.26,0.05,0.155
37,0.16,0.02,0.09
38,0.16,0.03,0.095
39,0.15,0.05,0.1
40,0.12,0.03,0.075
41,0.2,0.05,0.125
42,0.22,0.03,0.125
43,0.17,0.03,0.1
44,0.15,0.04,0.095
45,0.14,0.05,0.095
46,0.2,0.04,0.12000000000000001
47,0.11,0.03,0.07
48,0.2,0.04,0.12000000000000001
49,0.19,0.04,0.115
50,0.22,0.03,0.125
