Gen,PCdiversity_subpop1,PCdiversity_subpop2,PCdiversity
0,0.832,0.016,0.424
1,0.68,0.02,0.35000000000000003
2,0.54,0.016,0.278
3,0.38,0.016,0.198
4,0.228,0.016,0.122
5,0.184,0.016,0.1
6,0.204,0.016,0.10999999999999999
7,0.156,0.02,0.088
8,0.2,0.02,0.11
9,0.132,0.02,0.076
10,0.16,0.02,0.09
11,0.172,0.02,0.09599999999999999
12,0.148,0.016,0.08199999999999999
13,0.18,0.02,0.09999999999999999
14,0.16,0.016,0.088
15,0.176,0.016,0.096
16,0.16,0.016,0.088
17,0.128,0.016,0.07200000000000001
18,0.16,0.016,0.088
19,0.148,0.016,0.08199999999999999
20,0.164,0.016,0.09
21,0.212,0.016,0.11399999999999999
22,0.308,0.016,0.162
23,0.356,0.016,0.186
24,0.4,0.016,0.20800000000000002
25,0.404,0.016,0.21000000000000002
26,0.484,0.02,0.252
27,0.456,0.02,0.23800000000000002
28,0.544,0.024,0.28400000000000003
29,0.576,0.02,0.298
30,0.58,0.02,0.3
31,0.616,0.02,0.318
32,0.592,0.02,0.306
33,0.6,0.02,0.31
34,0.596,0.016,0.306
35,0.616,0.016,0.316
36,0.676,0.02,0.34800000000000003
37,0.588,0.02,0.304
38,0.58,0.016,0.298
39,0.656,0.02,0.338
40,0.64,0.016,0.328
41,0.608,0.02,0.314
42,0.648,0.02,0.334
43,0.616,0.02,0.318
44,0.652,0.02,0.336
45,0.64,0.02,0.33
46,0.636,0.02,0.328
47,0.628,0.02,0.324
48,0.672,0.024,0.34800000000000003
49,0.632,0.024,0.328
50,0.66,0.02,0.34
