Gen,PCdiversity_subpop1,PCdiversity_subpop2,PCdiversity
0,0.71,0.025,0.3675
1,0.62,0.02,0.32
2,0.51,0.02,0.265
3,0.515,0.025,0.27
4,0.52,0.025,0.2725
5,0.595,0.025,0.31
6,0.59,0.03,0.31
7,0.6,0.03,0.315
8,0.56,0.025,0.29250000000000004
9,0.57,0.025,0.2975
10,0.605,0.025,0.315
11,0.645,0.03,0.3375
12,0.59,0.025,0.3075
13,0.62,0.025,0.3225
14,0.66,0.025,0.3425
15,0.63,0.025,0.3275
16,0.63,0.025,0.3275
17,0.615,0.03,0.3225
18,0.63,0.025,0.3275
19,0.64,0.025,0.3325
20,0.61,0.025,0.3175
21,0.59,0.02,0.305
22,0.6,0.02,0.31
23,0.63,0.025,0.3275
24,0.62,0.025,0.3225
25,0.665,0.025,0.34500000000000003
26,0.675,0.025,0.35000000000000003
27,0.66,0.025,0.3425
28,0.64,0.03,0.335
29,0.655,0.025,0.34
30,0.645,0.025,0.335
31,0.625,0.02,0.3225
32,0.62,0.025,0.3225
33,0.555,0.03,0.29250000000000004
34,0.515,0.025,0.27
35,0.49,0.025,0.2575
36,0.485,0.03,0.2575
37,0.505,0.025,0.265
38,0.47,0.025,0.2475
39,0.505,0.025,0.265
40,0.48,0.02,0.25
41,0.47,0.02,0.245
42,0.475,0.025,0.25
43,0.44,0.02,0.23
44,0.415,0.025,0.22
45,0.39,0.025,0.20750000000000002
46,0.35,0.03,0.19
47,0.375,0.03,0.2025
48,0.335,0.03,0.1825
49,0.395,0.03,0.21250000000000002
50,0.395,0.025,0.21000000000000002
