states,transshipment,actions1,actions2,rewards
"tensor([10000.,     0.,  9567., 20336.,     0.,     0.,     0.,     0.])",0,20000,0,-30000
"tensor([  433.,     0., 20336., 15248.,     0.,     0., 20000.,     0.])",0,16000,0,-10866
"tensor([   97.,     0., 15248., 23339.,     0.,     0., 16000.,     0.])",0,24000,0,-10194
"tensor([  849.,     0., 23339.,  8436.,     0.,     0., 24000.,     0.])",0,8000,0,-11698
"tensor([1510.,    0., 8436., 7004.,    0.,    0., 8000.,    0.])",0,8000,0,-13020
"tensor([ 1074.,     0.,  7004., 17025.,     0.,     0.,  8000.,     0.])",0,18000,0,-12148
"tensor([ 2070.,     0., 17025., 26279.,     0.,     0., 18000.,     0.])",0,26000,0,-14140
"tensor([ 3045.,     0., 26279., 21576.,     0.,     0., 26000.,     0.])",0,22000,0,-16090
"tensor([ 2766.,     0., 21576.,  5456.,     0.,     0., 22000.,     0.])",0,6000,0,-15532
"tensor([3190.,    0., 5456., 7250.,    0.,    0., 6000.,    0.])",0,8000,0,-16380
"tensor([3734.,    0., 7250., 2659.,    0.,    0., 8000.,    0.])",0,2000,0,-17468
"tensor([ 4484.,     0.,  2659., 16192.,     0.,     0.,  2000.,     0.])",0,16000,0,-18968
"tensor([ 3825.,     0., 16192., 25127.,     0.,     0., 16000.,     0.])",0,26000,0,-17650
"tensor([ 3633.,     0., 25127., 13417.,     0.,     0., 26000.,     0.])",0,14000,0,-17266
"tensor([ 4506.,     0., 13417., 15749.,     0.,     0., 14000.,     0.])",0,16000,0,-19012
"tensor([ 5089.,     0., 15749., 25379.,     0.,     0., 16000.,     0.])",0,26000,0,-20178
"tensor([ 5340.,     0., 25379., 14023.,     0.,     0., 26000.,     0.])",0,14000,0,-20680
"tensor([ 5961.,     0., 14023., 15565.,     0.,     0., 14000.,     0.])",0,16000,0,-21922
"tensor([ 5938.,     0., 15565., 20255.,     0.,     0., 16000.,     0.])",0,20000,0,-21876
"tensor([ 6373.,     0., 20255.,  1114.,     0.,     0., 20000.,     0.])",0,2000,0,-22746
"tensor([ 6118.,     0.,  1114., 11532.,     0.,     0.,  2000.,     0.])",0,12000,0,-22236
"tensor([ 7004.,     0., 11532., 19067.,     0.,     0., 12000.,     0.])",0,20000,0,-24008
"tensor([ 7472.,     0., 19067., 19688.,     0.,     0., 20000.,     0.])",0,20000,0,-24944
"tensor([ 8405.,     0., 19688.,  3453.,     0.,     0., 20000.,     0.])",0,4000,0,-26810
"tensor([8717.,    0., 3453., 3063.,    0.,    0., 4000.,    0.])",0,4000,0,-27434
"tensor([9264.,    0., 3063., 8525.,    0.,    0., 4000.,    0.])",0,8000,0,-28528
"tensor([10201.,     0.,  8525.,  3732.,     0.,     0.,  8000.,     0.])",0,4000,0,-30402
"tensor([ 9676.,     0.,  3732., 24332.,     0.,     0.,  4000.,     0.])",0,24000,0,-29352
"tensor([ 9944.,     0., 24332.,  6617.,     0.,     0., 24000.,     0.])",0,6000,0,-29888
"tensor([ 9612.,     0.,  6617., 16931.,     0.,     0.,  6000.,     0.])",0,16000,0,-29224
"tensor([ 8995.,     0., 16931., 11092.,     0.,     0., 16000.,     0.])",0,12000,0,-27990
"tensor([ 8064.,     0., 11092., 26756.,     0.,     0., 12000.,     0.])",0,26000,0,-26128
"tensor([ 8972.,     0., 26756., 11439.,     0.,     0., 26000.,     0.])",0,12000,0,-27944
"tensor([ 8216.,     0., 11439.,  1971.,     0.,     0., 12000.,     0.])",0,2000,0,-26432
"tensor([8777.,    0., 1971.,  653.,    0.,    0., 2000.,    0.])",0,0,0,-17554
"tensor([ 8806.,     0.,   653., 13050.,     0.,     0.,     0.,     0.])",0,14000,0,-27612
"tensor([ 8153.,     0., 13050.,  6868.,     0.,     0., 14000.,     0.])",0,6000,0,-26306
"tensor([ 9103.,     0.,  6868., 28791.,     0.,     0.,  6000.,     0.])",0,28000,0,-28206
"tensor([ 8235.,     0., 28791.,  8195.,     0.,     0., 28000.,     0.])",0,8000,0,-26470
"tensor([ 7444.,     0.,  8195., 24485.,     0.,     0.,  8000.,     0.])",0,24000,0,-24888
"tensor([ 7249.,     0., 24485.,  7085.,     0.,     0., 24000.,     0.])",0,8000,0,-24498
"tensor([6764.,    0., 7085., 8488.,    0.,    0., 8000.,    0.])",0,8000,0,-23528
"tensor([7679.,    0., 8488., 5538.,    0.,    0., 8000.,    0.])",0,6000,0,-25358
"tensor([ 7191.,     0.,  5538., 17636.,     0.,     0.,  6000.,     0.])",0,18000,0,-24382
