Node,Mean Count
INL1,0.26666666666666666
PHC1,0.8333333333333334
PLSC1,0.8333333333333334
INC1,0.2
FOC1,1.0
PIP1,0.3
FC11,0.16666666666666666
FC12,0.23333333333333334
INL2,0.6666666666666666
PHC2,0.13333333333333333
PLSC2,0.06666666666666667
INC2,0.16666666666666666
FOC2,1.1333333333333333
PIP2,0.5666666666666667
FC21,0.23333333333333334
FC22,0.26666666666666666
PTC,0.16666666666666666
FTC,0.5666666666666667
+,1.2666666666666666
-,1.9
*,0.43333333333333335
/,1.7
max,0.8
min,0.7
sqrt,1.2333333333333334
^2,0.43333333333333335
