Material,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
S1,3224,15998,957,229,2057,1794,7817,1614,986,20284,3015,5117,2148,788,609,2669,1835,3746,2000,8946,9539,3780,12273,14556,6438,12312,1869,6120,12503,771,8866,14885,18715,14965,5611,850,1774,16987,9722,7198,5216,1197,290,9190,3105,16054,10981,6528,1656,5454,6247,0,0,0,6805,3023,1229,5734,1242,692,3115,4273,4494,2346,12102,17489,5970.136364,20284
S1a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2,2028,4442,9188,341,5142,7118,946,18754,1556,2028,3603,531,3320,2271,4442,6769,10219,3022,2206,7260,1107,6904,7404,4093,1853,19636,5508,1225,9093,969,2945,371,0,0,0,0,0,5489,8925,3444,20002,295,6362,0,7685,2142,15569,5703,2662,18259,10502,0,0,288,15394,6290,2504,8141,3235,17775,7432,1254,0,0,281,0,4938.287879,20002
S2a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S3,17156,2190,11274,22129,22426,19908,4405,2348,0,2720,17606,4383,0,11500,7054,5073,11509,3622,6800,20855,6092,5038,2454,15474,7800,16212,13098,10037,8270,19981,11175,30676,3058,1693,1024,22588,6330,15813,0,17161,13432,0,0,0,5525,6783,7783,2450,7766,400,10160,31381,0,245,752,13174,7660,14495,4667,18626,15605,2587,34566,10834,8776,4550,9532.560606,34566
S3a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S4,11262,102269,82590,7370,80798,23147,70464,12777,19983,30871,23045,59708,82191,55606,800,0,217409,29029,30323,33199,27957,0,1838,10696,32045,32848,70653,59598,42086,25081,31242,13223,46036,29128,37419,45932,50561,51900,80951,56113,33147,5822,3987,0,1765,7572,57758,40004,563,19680,36850,48302,0,40024,8623,38973,5581,55519,21657,10971,8827,0,0,0,0,0,32784.43939,217409
S4a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S5,65275,26606,18812,12196,8484,23224,1312,35785,26947,17969,11971,9815,8968,5840,3184,4768,578,13325,14382,0,31497,10536,19735,21432,27633,25776,39681,34876,33034,13843,15926,21362,14290,27369,16724,24921,14185,25817,1172,11609,23195,23655,0,33054,18185,29264,19830,4493,23187,24806,10302,250,0,3841,50920,12438,48326,5651,18006,14882,11612,0,9674,13358,35537,5607,17892.90909,65275
S5a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S6,43981,1500,5477,74569,14534,9688,113509,20065,48650,55158,26445,59677,64619,45726,26070,17269,28956,39282,61810,48346,23985,96982,0,39892,27978,81063,39640,215626,21145,45189,47582,47423,114350,72288,38143,67686,44180,64276,71659,88301,77846,179390,2447,54968,96010,30375,143050,63642,14977,75447,16680,79706,88217,119022,33270,425,8298,24736,90428,30381,14738,139872,27416,27346,120,41966,53537.75758,215626
S6a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S7,1204,6787,1951,242,9454,597,464,20016,1044,3700,2690,100,3465,663,2678,247,7399,19356,0,2481,1971,4872,18749,360,2838,5410,1118,1721,0,934,0,214,0,2007,180,494,2531,8689,24690,3150,1186,925,511,8700,0,304,4875,2294,1768,0,703,4244,300,193,1663,7135,649,0,815,8335,16818,3633,8548,31183,1083,50,4096.681818,31183
S7a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8,11297,4528,8977,23084,22671,0,12405,18788,10314,14607,27646,3327,2923,301,16033,18960,10588,50627,6233,62085,25327,0,42598,2721,2825,51079,28920,0,46284,42171,57130,8515,44883,47715,33027,48310,20188,55826,0,0,0,0,35632,83918,21350,34821,45296,88854,20881,0,4000,110748,0,3684,35647,0,58819,62800,0,70339,0,35753,82243,8700,0,0,25551.48485,110748
S8a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S9,2577,13376,3608,1128,2395,14130,2360,3413,6260,8649,2822,2453,2437,1814,0,4161,1955,1391,1693,3570,3056,5414,3394,4568,2231,5027,2632,9111,3549,3234,1340,2704,10419,5299,4509,8784,6242,8950,7267,6178,2960,968,614,0,120,12162,787,5252,4330,1556,5069,3507,0,5980,6340,7709,5912,4529,8796,218,4318,3139,7624,1596,4614,2661,4316.075758,14130
S9a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S10,11019,2948,1492,14196,6735,14893,3705,4299,10923,2898,22584,15768,11474,8681,3755,10924,0,0,2988,14007,0,1437,23196,6247,16610,4019,0,10453,3252,3252,20647,15567,2772,15272,5008,9147,11291,16671,9265,6308,2220,17678,7416,0,2000,8044,7186,2114,3329,3325,3177,4940,0,5398,0,14262,5040,17954,4641,11332,22146,0,5016,10920,0,8982,7739.742424,23196
S10a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
