states,transshipment,actions1,actions2,rewards
"tensor([100., 100.,   8.,  13.,   9.,  11.,   0.,   0.])",0,0,0,-600
"tensor([92., 91., 13., 11., 11., 10.,  0.,  0.])",0,0,0,-547
"tensor([79., 80., 11., 17., 10., 14.,  0.,  0.])",0,0,0,-479
"tensor([68., 70., 17.,  2., 14., 10.,  0.,  0.])",0,0,0,-418
"tensor([51., 56.,  2.,  3., 10.,  2.,  0.,  0.])",0,0,0,-331
"tensor([49., 46.,  3.,  9.,  2.,  4.,  0.,  0.])",0,0,0,-279
"tensor([46., 44.,  9., 23.,  4., 11.,  0.,  0.])",0,0,0,-266
"tensor([37., 40., 23., 13., 11., 17.,  0.,  0.])",0,6000,0,-287
"tensor([1.4000e+01, 2.9000e+01, 1.3000e+01, 4.0000e+00, 1.7000e+01, 3.0000e+00,
        6.0000e+03, 0.0000e+00])",0,0,0,-159
"tensor([6.0010e+03, 1.2000e+01, 4.0000e+00, 5.0000e+00, 3.0000e+00, 1.0000e+00,
        0.0000e+00, 0.0000e+00])",0,0,0,-6061
"tensor([5.9970e+03, 9.0000e+00, 5.0000e+00, 2.0000e+00, 1.0000e+00, 2.1000e+01,
        0.0000e+00, 0.0000e+00])",0,0,0,-6042
"tensor([5.9920e+03, 8.0000e+00, 2.0000e+00, 1.3000e+01, 2.1000e+01, 1.3000e+01,
        0.0000e+00, 0.0000e+00])",0,0,0,-6032
"tensor([5990.,  -13.,   13.,   22.,   13.,    8.,    0.,    0.])",0,0,0,-6055
"tensor([ 5.9770e+03, -1.3000e+01,  2.2000e+01,  4.0000e+00,  8.0000e+00,
         1.7000e+01,  0.0000e+00,  0.0000e+00])",0,0,0,-6042
"tensor([ 5.9550e+03, -8.0000e+00,  4.0000e+00,  1.3000e+01,  1.7000e+01,
         1.1000e+01,  0.0000e+00,  0.0000e+00])",0,0,0,-5995
"tensor([5951.,  -17.,   13.,   11.,   11.,    0.,    0.,    0.])",0,0,0,-6036
"tensor([5938.,  -11.,   11.,   11.,    0.,   15.,    0.,    0.])",0,0,0,-5993
"tensor([5927.,    0.,   11.,   10.,   15.,   18.,    0.,    0.])",0,0,0,-5927
"tensor([5916.,  -15.,   10.,   13.,   18.,   22.,    0.,    0.])",0,0,0,-5991
"tensor([5906.,  -18.,   13.,    0.,   22.,    9.,    0.,    0.])",0,0,0,-5996
"tensor([5893.,  -22.,    0.,    8.,    9.,   20.,    0.,    0.])",0,0,0,-6003
"tensor([5893.,   -9.,    8.,    9.,   20.,    8.,    0.,    0.])",0,0,0,-5938
"tensor([5885.,  -20.,    9.,    7.,    8.,   19.,    0.,    0.])",0,0,0,-5985
"tensor([ 5.8760e+03, -8.0000e+00,  7.0000e+00,  2.0000e+00,  1.9000e+01,
         7.0000e+00,  0.0000e+00,  0.0000e+00])",0,0,0,-5916
"tensor([ 5.8690e+03, -1.9000e+01,  2.0000e+00,  2.0000e+00,  7.0000e+00,
         2.4000e+01,  0.0000e+00,  0.0000e+00])",0,0,0,-5964
"tensor([ 5.8670e+03, -7.0000e+00,  2.0000e+00,  5.0000e+00,  2.4000e+01,
         1.0000e+00,  0.0000e+00,  0.0000e+00])",0,0,0,-5902
"tensor([ 5.8650e+03, -2.4000e+01,  5.0000e+00,  2.0000e+00,  1.0000e+00,
         8.0000e+00,  0.0000e+00,  0.0000e+00])",0,0,0,-5985
"tensor([ 5.8600e+03, -1.0000e+00,  2.0000e+00,  2.1000e+01,  8.0000e+00,
         2.4000e+01,  0.0000e+00,  0.0000e+00])",0,0,0,-5865
"tensor([ 5.8580e+03, -8.0000e+00,  2.1000e+01,  1.0000e+00,  2.4000e+01,
         1.5000e+01,  0.0000e+00,  0.0000e+00])",0,0,0,-5898
"tensor([ 5.8370e+03, -2.4000e+01,  1.0000e+00,  1.1000e+01,  1.5000e+01,
         7.0000e+00,  0.0000e+00,  0.0000e+00])",0,0,0,-5957
"tensor([5836.,  -15.,   11.,    6.,    7.,   16.,    0.,    0.])",0,0,0,-5911
"tensor([5825.,   -7.,    6.,   19.,   16.,   10.,    0.,    0.])",0,0,0,-5860
"tensor([5819.,  -16.,   19.,    8.,   10.,   15.,    0.,    0.])",0,0,0,-5899
"tensor([ 5.8000e+03, -1.0000e+01,  8.0000e+00,  4.0000e+00,  1.5000e+01,
         1.0000e+01,  0.0000e+00,  0.0000e+00])",0,0,0,-5850
"tensor([ 5.7920e+03, -1.5000e+01,  4.0000e+00,  0.0000e+00,  1.0000e+01,
         8.0000e+00,  0.0000e+00,  0.0000e+00])",0,0,0,-5867
"tensor([5788.,  -10.,    0.,   11.,    8.,    9.,    0.,    0.])",0,0,0,-5838
"tensor([ 5.7880e+03, -8.0000e+00,  1.1000e+01,  2.0000e+00,  9.0000e+00,
         1.4000e+01,  0.0000e+00,  0.0000e+00])",0,0,0,-5828
"tensor([ 5.7770e+03, -9.0000e+00,  2.0000e+00,  2.0000e+01,  1.4000e+01,
         9.0000e+00,  0.0000e+00,  0.0000e+00])",0,0,0,-5822
"tensor([ 5.7750e+03, -1.4000e+01,  2.0000e+01,  2.0000e+00,  9.0000e+00,
         1.6000e+01,  0.0000e+00,  0.0000e+00])",0,0,0,-5845
"tensor([ 5.7550e+03, -9.0000e+00,  2.0000e+00,  2.3000e+01,  1.6000e+01,
         3.0000e+00,  0.0000e+00,  0.0000e+00])",0,0,0,-5800
"tensor([ 5.7530e+03, -1.6000e+01,  2.3000e+01,  6.0000e+00,  3.0000e+00,
         0.0000e+00,  0.0000e+00,  0.0000e+00])",0,0,0,-5833
"tensor([ 5.7300e+03, -3.0000e+00,  6.0000e+00,  9.0000e+00,  0.0000e+00,
         7.0000e+00,  0.0000e+00,  0.0000e+00])",0,0,0,-5745
"tensor([5724.,    0.,    9.,    6.,    7.,   15.,    0.,    0.])",0,0,0,-5724
"tensor([5715.,   -7.,    6.,    7.,   15.,    7.,    0.,    0.])",0,0,0,-5750
